Bit Position,Bit description,Bit Type
0 ,>= 4 H,Hierarchic Element Count
1 ,>= 8 H,Hierarchic Element Count
2 ,>= 16 H,Hierarchic Element Count
3 ,>= 32 H,Hierarchic Element Count
4 ,>= 1 Li,Hierarchic Element Count
5 ,>= 2 Li,Hierarchic Element Count
6 ,>= 1 B,Hierarchic Element Count
7 ,>= 2 B,Hierarchic Element Count
8 ,>= 4 B,Hierarchic Element Count
9 ,>= 2 C,Hierarchic Element Count
10, >= 4 C,Hierarchic Element Count
11, >= 8 C,Hierarchic Element Count
12, >= 16 C,Hierarchic Element Count
13, >= 32 C,Hierarchic Element Count
14, >= 1 N,Hierarchic Element Count
15, >= 2 N,Hierarchic Element Count
16, >= 4 N,Hierarchic Element Count
17, >= 8 N,Hierarchic Element Count
18, >= 1 O,Hierarchic Element Count
19, >= 2 O,Hierarchic Element Count
20, >= 4 O,Hierarchic Element Count
21, >= 8 O,Hierarchic Element Count
22, >= 16 O,Hierarchic Element Count
23, >= 1 F,Hierarchic Element Count
24, >= 2 F,Hierarchic Element Count
25, >= 4 F,Hierarchic Element Count
26, >= 1 Na,Hierarchic Element Count
27, >= 2 Na,Hierarchic Element Count
28, >= 1 Si,Hierarchic Element Count
29, >= 2 Si,Hierarchic Element Count
30, >= 1 P,Hierarchic Element Count
31, >= 2 P,Hierarchic Element Count
32, >= 4 P,Hierarchic Element Count
33, >= 1 S,Hierarchic Element Count
34, >= 2 S,Hierarchic Element Count
35, >= 4 S,Hierarchic Element Count
36, >= 8 S,Hierarchic Element Count
37, >= 1 Cl,Hierarchic Element Count
38, >= 2 Cl,Hierarchic Element Count
39, >= 4 Cl,Hierarchic Element Count
40, >= 8 Cl,Hierarchic Element Count
41, >= 1 K,Hierarchic Element Count
42, >= 2 K,Hierarchic Element Count
43, >= 1 Br,Hierarchic Element Count
44, >= 2 Br,Hierarchic Element Count
45, >= 4 Br,Hierarchic Element Count
46, >= 1 I,Hierarchic Element Count
47, >= 2 I,Hierarchic Element Count
48, >= 4 I,Hierarchic Element Count
49, >= 1 Be,Hierarchic Element Count
50, >= 1 Mg,Hierarchic Element Count
51, >= 1 Al,Hierarchic Element Count
52, >= 1 Ca,Hierarchic Element Count
53, >= 1 Sc,Hierarchic Element Count
54, >= 1 Ti,Hierarchic Element Count
55, >= 1 V,Hierarchic Element Count
56, >= 1 Cr,Hierarchic Element Count
57, >= 1 Mn,Hierarchic Element Count
58, >= 1 Fe,Hierarchic Element Count
59, >= 1 Co,Hierarchic Element Count
60, >= 1 Ni,Hierarchic Element Count
61, >= 1 Cu,Hierarchic Element Count
62, >= 1 Zn,Hierarchic Element Count
63, >= 1 Ga,Hierarchic Element Count
64, >= 1 Ge,Hierarchic Element Count
65, >= 1 As,Hierarchic Element Count
66, >= 1 Se,Hierarchic Element Count
67, >= 1 Kr,Hierarchic Element Count
68, >= 1 Rb,Hierarchic Element Count
69, >= 1 Sr,Hierarchic Element Count
70, >= 1 Y,Hierarchic Element Count
71, >= 1 Zr,Hierarchic Element Count
72, >= 1 Nb,Hierarchic Element Count
73, >= 1 Mo,Hierarchic Element Count
74, >= 1 Ru,Hierarchic Element Count
75, >= 1 Rh,Hierarchic Element Count
