Protein Name,ChEMBL ID
Maltase-glucoamylase,CHEMBL2074
Sulfonylurea receptor 2,CHEMBL1971
Phosphodiesterase 5A,CHEMBL1827
Voltage-gated T-type calcium channel alpha-1H subunit,CHEMBL1859
Dihydrofolate reductase,CHEMBL202
Tyrosine-protein kinase ABL,CHEMBL1862
Epidermal growth factor receptor erbB1,CHEMBL203
Thrombin,CHEMBL204
Plasminogen,CHEMBL1801
Adenosine deaminase,CHEMBL1910
Carbonic anhydrase II,CHEMBL205
Antithrombin-III,CHEMBL1950
Estrogen receptor alpha,CHEMBL206
Plasma kallikrein,CHEMBL2000
HMG-CoA reductase,CHEMBL402
Glucocorticoid receptor,CHEMBL2034
Thymidylate synthase,CHEMBL1952
Sodium/potassium-transporting ATPase alpha-1 chain,CHEMBL1807
Aldehyde dehydrogenase,CHEMBL1935
Cytochrome P450 11A1,CHEMBL2033
Tubulin beta-2 chain,CHEMBL1848
Fibronectin receptor beta,CHEMBL1905
Insulin receptor,CHEMBL1981
Progesterone receptor,CHEMBL208
Epoxide hydrolase 1,CHEMBL1968
Tyrosine 3-hydroxylase,CHEMBL1969
Thyroid peroxidase,CHEMBL1839
Alcohol dehydrogenase alpha chain,CHEMBL1970
Trypsin I,CHEMBL209
Beta-2 adrenergic receptor,CHEMBL210
Muscarinic acetylcholine receptor M2,CHEMBL211
Mineralocorticoid receptor,CHEMBL1994
Integrin alpha-IIb,CHEMBL212
Beta-1 adrenergic receptor,CHEMBL213
Serotonin 1a (5-HT1a) receptor,CHEMBL214
Alpha-2a adrenergic receptor,CHEMBL1867
DNA polymerase alpha subunit,CHEMBL1828
Arachidonate 5-lipoxygenase,CHEMBL215
Androgen Receptor,CHEMBL1871
Retinoic acid receptor alpha,CHEMBL2055
Thyroid hormone receptor alpha,CHEMBL1860
Growth hormone receptor,CHEMBL1976
Muscarinic acetylcholine receptor M1,CHEMBL216
DNA topoisomerase I,CHEMBL1781
DNA topoisomerase II alpha,CHEMBL1806
Vitamin D receptor,CHEMBL1977
Cytochrome P450 19A1,CHEMBL1978
Inosine-5'-monophosphate dehydrogenase 2,CHEMBL2002
Angiotensin-converting enzyme,CHEMBL1808
Farnesyl diphosphate synthase,CHEMBL1782
Dopamine D2 receptor,CHEMBL217
Tyrosinase,CHEMBL1973
GABA receptor alpha-1 subunit,CHEMBL1962
Cytochrome P450 11B1,CHEMBL1908
Pancreatic lipase,CHEMBL1812
Thyroid stimulating hormone receptor,CHEMBL1963
Steroid 5-alpha-reductase 1,CHEMBL1787
FK506-binding protein 1A,CHEMBL1902
Myeloid cell surface antigen CD33,CHEMBL1842
DOPA decarboxylase,CHEMBL1843
Inosine-5'-monophosphate dehydrogenase 1,CHEMBL1822
Monoamine oxidase A,CHEMBL1951
Cannabinoid CB1 receptor,CHEMBL218
Dopamine D1 receptor,CHEMBL2056
Ryanodine receptor 1,CHEMBL1846
Dopamine D4 receptor,CHEMBL219
Catechol O-methyltransferase,CHEMBL2023
Acetylcholinesterase,CHEMBL220
Cytochrome P450 7A1,CHEMBL1851
Luteinizing hormone/Choriogonadotropin receptor,CHEMBL1854
Cyclooxygenase-1,CHEMBL221
Cyclophilin B,CHEMBL2075
Ribonucleoside-diphosphate reductase M1 chain,CHEMBL1830
Follicle stimulating hormone receptor,CHEMBL2024
Norepinephrine transporter,CHEMBL222
Histamine H2 receptor,CHEMBL1941
Alpha-1d adrenergic receptor,CHEMBL223
Monoamine oxidase B,CHEMBL2039
Serotonin 1d (5-HT1d) receptor,CHEMBL1983
Serotonin 1b (5-HT1b) receptor,CHEMBL1898
Serotonin 2a (5-HT2a) receptor,CHEMBL224
Serotonin 2c (5-HT2c) receptor,CHEMBL225
Inositol-1(or 4)-monophosphatase 1,CHEMBL1786
Vasopressin V2 receptor,CHEMBL1790
GABA transporter 1,CHEMBL1903
Adenosine A1 receptor,CHEMBL226
Type-1 angiotensin II receptor,CHEMBL227
Oxytocin receptor,CHEMBL2049
Somatostatin receptor 2,CHEMBL1804
Gonadotropin-releasing hormone receptor,CHEMBL1855
Calcitonin receptor,CHEMBL1832
Steroid 5-alpha-reductase 2,CHEMBL1856
Serotonin transporter,CHEMBL228
4-hydroxyphenylpyruvate dioxygenase,CHEMBL1861
Corticotropin releasing factor receptor 1,CHEMBL1800
Alpha-1a adrenergic receptor,CHEMBL229
